Works,Wikis,Researcher,Researcher description,Orcid
231,0,Mara H. Hutz,researcher,0000-0002-9146-1229
150,0,Ursula Matte,researcher,0000-0003-4977-6662
123,0,Lavinia Schuler-Faccini,researcher,0000-0002-2428-0460
112,0,Claiton H D Bau,researcher,0000-0001-5644-3845
109,0,Laura Bannach Jardim,researcher,0000-0001-6907-5068
100,0,Patricia Ashton-Prolla,researcher (ORCID 0000-0002-5093-4739),0000-0002-5093-4739
99,0,Maria Luiza Saraiva-Pereira,researcher,0000-0003-3905-9563
88,0,Arnaldo Zaha,researcher ORCID ID = 0000-0001-6336-474X,0000-0001-6336-474X
86,0,Roberto Giugliani,researcher,0000-0001-9655-3686
86,0,João Antonio Pêgas Henriques,researcher,0000-0002-5298-932X
81,0,Maria Cátira Bortolini,researcher (ORCID 0000-0003-0598-3854),0000-0003-0598-3854
63,0,Ida Vanessa D Schwartz,researcher,0000-0002-7933-6687
52,0,Loreta B. Freitas,researcher,0000-0002-0728-4945
51,0,Rogerio Margis,researcher ORCID ID = 0000-0002-2871-4473,0000-0002-2871-4473
50,0,Mariluce Riegel,researcher,0000-0002-6397-1301
49,0,Luciane Maria Pereira Passaglia,researcher (ORCID 0000-0001-5011-9120),0000-0001-5011-9120
38,0,Fernanda Sales Luiz Vianna,researcher (ORCID 0000-0001-6339-4869),0000-0001-6339-4869
35,0,Tatiana Roman,researcher (ORCID 0000-0001-9796-0400),0000-0001-9796-0400
32,0,Andreia Carina Turchetto-Zolet,researcher (ORCID 0000-0002-7365-1360),0000-0002-7365-1360
26,0,Maria Teresa Vieira Sanseverino,researcher (ORCID 0000-0002-7404-2911),0000-0002-7404-2911
25,0,José Artur Bogo Chies,researcher,0000-0001-7025-0660
23,1,Thales Renato Ochotorena de Freitas,Brazilian zoologist,0000-0002-1019-9303
23,0,Karen Luisa Haag,researcher,0000-0003-1162-0152
14,0,Guilherme Baldo,researcher,0000-0003-1598-5861
14,0,Fernanda Bered,researcher,0000-0002-5710-7170
10,0,Élgion Lúcio da Silva Loreto,researcher (0000-0002-7586-8168),0000-0002-7586-8168
8,0,Nelson Jurandi Rosa Fagundes,researcher,
8,0,Gustavo Fioravanti Vieira,researcher,0000-0002-2380-8059
5,0,Maria Helena Bodanese Zanettini,researcher,
2,0,Vera Lúcia da Silva Valente-Gaiesky,researcher (ORCID 0000-0001-8661-6284),0000-0001-8661-6284
2,0,Felipe dos Santos Maraschin,researcher,
